summary_code,HS_total_imports,TiVA_total_imports,region,difference,summary_name
111CA,9757568484.0,8008000000,CAN,1749568484.0,Farms
113FF,3149356815.0,2651000000,CAN,498356815.0,"Forestry, fishing, and related activities"
211,106246484961.0,101836000000,CAN,4410484961.0,Oil and gas extraction
212,1573727580.0,1723000000,CAN,-149272420.0,"Mining, except oil and gas"
213,0.0,190000000,CAN,-190000000.0,Support activities for mining
22,0.0,3288000000,CAN,-3288000000.0,Utilities
23,0.0,0,CAN,0.0,Construction
311FT,31926569507.0,30979000000,CAN,947569507.0,Food and beverage and tobacco products
313TT,989430054.0,802000000,CAN,187430054.0,Textile mills and textile product mills
315AL,871121019.0,319000000,CAN,552121019.0,Apparel and leather and allied products
321,11065405905.0,11078000000,CAN,-12594095.0,Wood products
322,9562926505.0,9487000000,CAN,75926505.0,Paper products
323,832631970.0,380000000,CAN,452631970.0,Printing and related support activities
324,15694192264.0,15181000000,CAN,513192264.0,Petroleum and coal products
325,29929293897.0,30254000000,CAN,-324706103.0,Chemical products
326,10807028265.0,8515000000,CAN,2292028265.0,Plastics and rubber products
327,2358852793.0,2074000000,CAN,284852793.0,Nonmetallic mineral products
331,32194990921.0,23613000000,CAN,8581990921.0,Primary metals
332,8337624868.0,6223000000,CAN,2114624868.0,Fabricated metal products
333,21460123206.0,15810000000,CAN,5650123206.0,Machinery
334,7549763049.0,2235000000,CAN,5314763049.0,Computer and electronic products
335,8190969498.0,3683000000,CAN,4507969498.0,"Electrical equipment, appliances, and components"
3361MV,52318607153.0,57949000000,CAN,-5630392847.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,16117908432.0,14388000000,CAN,1729908432.0,Other transportation equipment
337,3756651420.0,3010000000,CAN,746651420.0,Furniture and related products
339,3086338954.0,773000000,CAN,2313338954.0,Miscellaneous manufacturing
42,0.0,0,CAN,0.0,Wholesale trade
441,0.0,0,CAN,0.0,Motor vehicle and parts dealers
445,0.0,0,CAN,0.0,Food and beverage stores
452,0.0,0,CAN,0.0,General merchandise stores
481,0.0,688000000,CAN,-688000000.0,Air transportation  
482,0.0,0,CAN,0.0,Rail transportation 
483,0.0,0,CAN,0.0,Water transportation
484,0.0,0,CAN,0.0,Truck transportation
485,0.0,0,CAN,0.0,Transit and ground passenger transportation 
486,0.0,0,CAN,0.0,Pipeline transportation
487OS,0.0,24000000,CAN,-24000000.0,Other transportation and support activities
493,0.0,0,CAN,0.0,Warehousing and storage
4A0,0.0,0,CAN,0.0,Other retail
511,0.0,757000000,CAN,-757000000.0,"Publishing industries, except internet (includes software)"
512,0.0,1017000000,CAN,-1017000000.0,Motion picture and sound recording industries
513,0.0,13000000,CAN,-13000000.0,Broadcasting and telecommunications
514,0.0,182000000,CAN,-182000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,2064000000,CAN,-2064000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,4000000,CAN,-4000000.0,"Securities, commodity contracts, and investments"
524,0.0,447000000,CAN,-447000000.0,Insurance carriers and related activities
525,0.0,0,CAN,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,CAN,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,306000000,CAN,-306000000.0,Legal services
5412OP,0.0,10049000000,CAN,-10049000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,10942000000,CAN,-10942000000.0,Computer systems design and related services
55,0.0,0,CAN,0.0,Management of companies and enterprises
561,0.0,342000000,CAN,-342000000.0,Administrative and support services
562,0.0,34000000,CAN,-34000000.0,Waste management and remediation services
61,0.0,694000000,CAN,-694000000.0,Educational services
621,0.0,13000000,CAN,-13000000.0,Ambulatory health care services
622,0.0,817000000,CAN,-817000000.0,Hospitals
623,0.0,3000000,CAN,-3000000.0,Nursing and residential care facilities
624,0.0,0,CAN,0.0,Social assistance
711AS,0.0,684000000,CAN,-684000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,CAN,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,CAN,0.0,Accommodation
722,0.0,0,CAN,0.0,Food services and drinking places
81,0.0,1261000000,CAN,-1261000000.0,"Other services, except government"
GFE,0.0,220000000,CAN,-220000000.0,Federal government enterprises
GFGD,0.0,0,CAN,0.0,Federal general government (defense)
GFGN,0.0,0,CAN,0.0,Federal general government (nondefense)
GSLE,0.0,0,CAN,0.0,State and local government enterprises
GSLG,0.0,0,CAN,0.0,State and local general government
HS,0.0,0,CAN,0.0,Housing
ORE,0.0,0,CAN,0.0,Other real estate
Other,24918152357.0,21872000000,CAN,3046152357.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,5119000000,CAN,-5119000000.0,"Scrap, used and secondhand goods"
111CA,513896911.0,732000000,CHN,-218103089.0,Farms
113FF,1588204872.0,1589000000,CHN,-795128.0,"Forestry, fishing, and related activities"
211,3368270.0,0,CHN,3368270.0,Oil and gas extraction
212,151619834.0,170000000,CHN,-18380166.0,"Mining, except oil and gas"
213,0.0,32000000,CHN,-32000000.0,Support activities for mining
22,0.0,24000000,CHN,-24000000.0,Utilities
23,0.0,0,CHN,0.0,Construction
311FT,4882274075.0,4879000000,CHN,3274075.0,Food and beverage and tobacco products
313TT,13610020714.0,15025000000,CHN,-1414979286.0,Textile mills and textile product mills
315AL,30626664293.0,40290000000,CHN,-9663335707.0,Apparel and leather and allied products
321,1928346531.0,2568000000,CHN,-639653469.0,Wood products
322,3285555504.0,4832000000,CHN,-1546444496.0,Paper products
323,2674333107.0,1193000000,CHN,1481333107.0,Printing and related support activities
324,405864269.0,356000000,CHN,49864269.0,Petroleum and coal products
325,23209058292.0,20363000000,CHN,2846058292.0,Chemical products
326,19003162721.0,21894000000,CHN,-2890837279.0,Plastics and rubber products
327,7097630438.0,8427000000,CHN,-1329369562.0,Nonmetallic mineral products
331,3257856164.0,3592000000,CHN,-334143836.0,Primary metals
332,24814680726.0,27616000000,CHN,-2801319274.0,Fabricated metal products
333,32433681845.0,36284000000,CHN,-3850318155.0,Machinery
334,121550586854.0,122373000000,CHN,-822413146.0,Computer and electronic products
335,55927779290.0,56646000000,CHN,-718220710.0,"Electrical equipment, appliances, and components"
3361MV,15530725845.0,20410000000,CHN,-4879274155.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,4381959935.0,3770000000,CHN,611959935.0,Other transportation equipment
337,13262839144.0,17142000000,CHN,-3879160856.0,Furniture and related products
339,47504173315.0,47822000000,CHN,-317826685.0,Miscellaneous manufacturing
42,0.0,0,CHN,0.0,Wholesale trade
441,0.0,0,CHN,0.0,Motor vehicle and parts dealers
445,0.0,0,CHN,0.0,Food and beverage stores
452,0.0,0,CHN,0.0,General merchandise stores
481,0.0,109000000,CHN,-109000000.0,Air transportation  
482,0.0,0,CHN,0.0,Rail transportation 
483,0.0,0,CHN,0.0,Water transportation
484,0.0,0,CHN,0.0,Truck transportation
485,0.0,0,CHN,0.0,Transit and ground passenger transportation 
486,0.0,0,CHN,0.0,Pipeline transportation
487OS,0.0,0,CHN,0.0,Other transportation and support activities
493,0.0,0,CHN,0.0,Warehousing and storage
4A0,0.0,0,CHN,0.0,Other retail
511,0.0,1002000000,CHN,-1002000000.0,"Publishing industries, except internet (includes software)"
512,0.0,660000000,CHN,-660000000.0,Motion picture and sound recording industries
513,0.0,15000000,CHN,-15000000.0,Broadcasting and telecommunications
514,0.0,23000000,CHN,-23000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,338000000,CHN,-338000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,4000000,CHN,-4000000.0,"Securities, commodity contracts, and investments"
524,0.0,205000000,CHN,-205000000.0,Insurance carriers and related activities
525,0.0,0,CHN,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,CHN,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,253000000,CHN,-253000000.0,Legal services
5412OP,0.0,6483000000,CHN,-6483000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,513000000,CHN,-513000000.0,Computer systems design and related services
55,0.0,0,CHN,0.0,Management of companies and enterprises
561,0.0,242000000,CHN,-242000000.0,Administrative and support services
562,0.0,24000000,CHN,-24000000.0,Waste management and remediation services
61,0.0,125000000,CHN,-125000000.0,Educational services
621,0.0,7000000,CHN,-7000000.0,Ambulatory health care services
622,0.0,603000000,CHN,-603000000.0,Hospitals
623,0.0,2000000,CHN,-2000000.0,Nursing and residential care facilities
624,0.0,0,CHN,0.0,Social assistance
711AS,0.0,5000000,CHN,-5000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,CHN,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,CHN,0.0,Accommodation
722,0.0,0,CHN,0.0,Food services and drinking places
81,0.0,133000000,CHN,-133000000.0,"Other services, except government"
GFE,0.0,0,CHN,0.0,Federal government enterprises
GFGD,0.0,0,CHN,0.0,Federal general government (defense)
GFGN,0.0,0,CHN,0.0,Federal general government (nondefense)
GSLE,0.0,0,CHN,0.0,State and local government enterprises
GSLG,0.0,0,CHN,0.0,State and local general government
HS,0.0,0,CHN,0.0,Housing
ORE,0.0,0,CHN,0.0,Other real estate
Other,11303103196.0,6840000000,CHN,4463103196.0,Noncomparable imports and rest-of-the-world adjustment
Used,0.0,318000000,CHN,-318000000.0,"Scrap, used and secondhand goods"
111CA,3750263598.0,4016000000,Europe,-265736402.0,Farms
113FF,2148090905.0,2369000000,Europe,-220909095.0,"Forestry, fishing, and related activities"
211,3117983849.0,2388000000,Europe,729983849.0,Oil and gas extraction
212,535017184.0,570000000,Europe,-34982816.0,"Mining, except oil and gas"
213,0.0,173000000,Europe,-173000000.0,Support activities for mining
22,0.0,39000000,Europe,-39000000.0,Utilities
23,0.0,0,Europe,0.0,Construction
311FT,36975408217.0,36200000000,Europe,775408217.0,Food and beverage and tobacco products
313TT,4526323964.0,4752000000,Europe,-225676036.0,Textile mills and textile product mills
315AL,11425067469.0,13849000000,Europe,-2423932531.0,Apparel and leather and allied products
321,3092610099.0,3598000000,Europe,-505389901.0,Wood products
322,5285599189.0,5231000000,Europe,54599189.0,Paper products
323,1260406949.0,393000000,Europe,867406949.0,Printing and related support activities
324,15684368941.0,18252000000,Europe,-2567631059.0,Petroleum and coal products
325,236008808442.0,182947000000,Europe,53061808442.0,Chemical products
326,10457312323.0,10389000000,Europe,68312323.0,Plastics and rubber products
327,7599167672.0,8972000000,Europe,-1372832328.0,Nonmetallic mineral products
331,33990159009.0,22877000000,Europe,11113159009.0,Primary metals
332,23315815748.0,20072000000,Europe,3243815748.0,Fabricated metal products
333,85315566805.0,82836000000,Europe,2479566805.0,Machinery
334,52906302773.0,39996000000,Europe,12910302773.0,Computer and electronic products
335,27734149003.0,22143000000,Europe,5591149003.0,"Electrical equipment, appliances, and components"
3361MV,72522160559.0,74839000000,Europe,-2316839441.0,"Motor vehicles, bodies and trailers, and parts"
3364OT,37349392301.0,20980000000,Europe,16369392301.0,Other transportation equipment
337,5181829080.0,5158000000,Europe,23829080.0,Furniture and related products
339,32535517525.0,24000000000,Europe,8535517525.0,Miscellaneous manufacturing
42,0.0,0,Europe,0.0,Wholesale trade
441,0.0,0,Europe,0.0,Motor vehicle and parts dealers
445,0.0,0,Europe,0.0,Food and beverage stores
452,0.0,0,Europe,0.0,General merchandise stores
481,0.0,28693000000,Europe,-28693000000.0,Air transportation  
482,0.0,0,Europe,0.0,Rail transportation 
483,0.0,0,Europe,0.0,Water transportation
484,0.0,0,Europe,0.0,Truck transportation
485,0.0,0,Europe,0.0,Transit and ground passenger transportation 
486,0.0,0,Europe,0.0,Pipeline transportation
487OS,0.0,0,Europe,0.0,Other transportation and support activities
493,0.0,0,Europe,0.0,Warehousing and storage
4A0,0.0,0,Europe,0.0,Other retail
511,0.0,1842000000,Europe,-1842000000.0,"Publishing industries, except internet (includes software)"
512,0.0,7490000000,Europe,-7490000000.0,Motion picture and sound recording industries
513,0.0,24000000,Europe,-24000000.0,Broadcasting and telecommunications
514,0.0,896000000,Europe,-896000000.0,"Data processing, internet publishing, and other information services"
521CI,0.0,5668000000,Europe,-5668000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,6000000,Europe,-6000000.0,"Securities, commodity contracts, and investments"
524,0.0,22073000000,Europe,-22073000000.0,Insurance carriers and related activities
525,0.0,0,Europe,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,Europe,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,3244000000,Europe,-3244000000.0,Legal services
5412OP,0.0,56106000000,Europe,-56106000000.0,"Miscellaneous professional, scientific, and technical services"
5415,0.0,18044000000,Europe,-18044000000.0,Computer systems design and related services
55,0.0,0,Europe,0.0,Management of companies and enterprises
561,0.0,1644000000,Europe,-1644000000.0,Administrative and support services
562,0.0,189000000,Europe,-189000000.0,Waste management and remediation services
