HS_Section,HS_Section_Title,HS_Chapter,HS_Chapter_Title
1,Live Animals and Animal Products,1,Live Animals
1,Live Animals and Animal Products,2,Meat and Edible Meat Offal
1,Live Animals and Animal Products,3,"Fish and Crustaceans, Molluscs and Other Aquatic Invertebrates"
1,Live Animals and Animal Products,4,Dairy Produce; Birds' Eggs; Natural Honey; Other Edible Animal Products
1,Live Animals and Animal Products,5,"Products of Animal Origin, Not Elsewhere Specified or Included"
2,Vegetable Products,6,"Live Trees and Other Plants; Bulbs, Roots and the Like; Cut Flowers and Ornamental Foliage"
2,Vegetable Products,7,Edible Vegetables and Certain Roots and Tubers
2,Vegetable Products,8,Edible Fruit and Nuts; Peel of Citrus Fruit or Melons
2,Vegetable Products,9,"Coffee, Tea, Mate and Spices"
2,Vegetable Products,10,Cereals
2,Vegetable Products,11,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten
2,Vegetable Products,12,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder"
2,Vegetable Products,13,"Lac; Gums, Resins and Other Vegetable Saps and Extracts"
2,Vegetable Products,14,Vegetable Plaiting Materials; Vegetable Products Not Elsewhere Specified or Included
3,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,15,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",16,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates"
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",17,Sugars and Sugar Confectionery
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",18,Cocoa and Cocoa Preparations
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",19,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks' Products"
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",20,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants"
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",21,Miscellaneous Edible Preparations
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",22,"Beverages, Spirits and Vinegar"
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",23,Food Industry Residues and Waste; Prepared Animal Fodder
4,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes",24,Tobacco and Manufactured Tobacco Substitutes
5,Mineral Products,25,"Salt; Sulphur; Earths and Stone; Plastering Materials, Lime and Cement"
5,Mineral Products,26,"Ores, Slag and Ash"
5,Mineral Products,27,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes"
6,Products of the Chemical or Allied Industries,28,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes"
6,Products of the Chemical or Allied Industries,29,Organic Chemicals
6,Products of the Chemical or Allied Industries,30,Pharmaceutical Products
6,Products of the Chemical or Allied Industries,31,Fertilizers
6,Products of the Chemical or Allied Industries,32,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Coloring Matter; Paints and Varnishes; Putty and Other Mastics; Inks"
6,Products of the Chemical or Allied Industries,33,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations"
6,Products of the Chemical or Allied Industries,34,"Soap, Organic Surface-Active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modeling Pastes, Dental Wax and Dental Preparations with a Basis of Plaster"
6,Products of the Chemical or Allied Industries,35,Albuminoidal Substances; Modified Starches; Glues; Enzymes
6,Products of the Chemical or Allied Industries,36,Explosives; Pyrotechnic Products; Matches; Pyrophoric Alloys; Certain Combustible Preparations
6,Products of the Chemical or Allied Industries,37,Photographic or Cinematographic Goods
6,Products of the Chemical or Allied Industries,38,Miscellaneous Chemical Products
7,Plastics and Articles Thereof; Rubber and Articles Thereof,39,Plastics and Articles Thereof
7,Plastics and Articles Thereof; Rubber and Articles Thereof,40,Rubber and Articles Thereof
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",41,Raw Hides and Skins (Other Than Furskins) and Leather
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",42,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)"
8,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)",43,Furskins and Artificial Fur; Manufactures Thereof
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",44,Wood and Articles of Wood; Wood Charcoal
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",45,Cork and Articles of Cork
9,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",46,"Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork"
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Recovered (Waste and Scrap) Paper or Paperboard; Paper and Paperboard and Articles Thereof,47,Pulp of Wood or of Other Fibrous Cellulosic Material; Recovered (Waste and Scrap) Paper or Paperboard
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Recovered (Waste and Scrap) Paper or Paperboard; Paper and Paperboard and Articles Thereof,48,"Paper and Paperboard; Articles of Paper Pulp, of Paper or of Paperboard"
10,Pulp of Wood or of Other Fibrous Cellulosic Material; Recovered (Waste and Scrap) Paper or Paperboard; Paper and Paperboard and Articles Thereof,49,"Printed Books, Newspapers, Pictures and Other Products of the Printing Industry; Manuscripts, Typescripts and Plans"
11,Textiles and Textile Articles,50,Silk
11,Textiles and Textile Articles,51,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric"
11,Textiles and Textile Articles,52,Cotton
11,Textiles and Textile Articles,53,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn
11,Textiles and Textile Articles,54,Man-made Filaments; Strip and the Like of man-made textile materials
11,Textiles and Textile Articles,55,Man-made Staple Fibres
11,Textiles and Textile Articles,56,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof"
11,Textiles and Textile Articles,57,Carpets and Other Textile Floor Coverings
11,Textiles and Textile Articles,58,Special Woven Fabrics; Tufted Textile Fabrics; Lace; Tapestries; Trimmings; Embroidery
11,Textiles and Textile Articles,59,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable for Industrial Use"
11,Textiles and Textile Articles,60,Knitted or Crocheted Fabrics
11,Textiles and Textile Articles,61,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted"
11,Textiles and Textile Articles,62,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted"
11,Textiles and Textile Articles,63,Other Made-up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags
12,"Footwear, Headgear, Umbrellas, Walking-Sticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",64,"Footwear, Gaiters and the Like; Parts of Such Articles"
12,"Footwear, Headgear, Umbrellas, Walking-Sticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",65,Headgear and Parts Thereof
